# tof, counts, bg
7.960000000000395914e+01,2.300000000000000000e+01,4.235489994666091107e+00
8.000000000000399325e+01,2.200000000000000000e+01,4.139183511550654337e+00
8.040000000000397051e+01,2.400000000000000000e+01,4.046094415288156831e+00
8.080000000000394778e+01,1.700000000000000000e+01,3.956506628309651941e+00
8.120000000000398188e+01,1.300000000000000000e+01,3.869418918074288172e+00
8.160000000000401599e+01,1.700000000000000000e+01,3.792651523597557528e+00
8.200000000000399325e+01,1.700000000000000000e+01,3.717809204747537954e+00
8.240000000000397051e+01,1.500000000000000000e+01,3.642040608391417855e+00
8.280000000000400462e+01,1.200000000000000000e+01,3.569733508494057350e+00
8.320000000000403872e+01,1.800000000000000000e+01,3.500035959984930667e+00
8.360000000000401599e+01,1.100000000000000000e+01,3.422840671149063319e+00
8.400000000000399325e+01,1.900000000000000000e+01,3.346951481722862276e+00
8.440000000000402736e+01,9.000000000000000000e+00,3.273373342579814604e+00
8.480000000000406146e+01,1.400000000000000000e+01,3.202048607605483710e+00
8.520000000000403872e+01,1.000000000000000000e+01,3.132517357387915702e+00
8.560000000000401599e+01,1.200000000000000000e+01,3.057753772355612298e+00
8.600000000000405009e+01,1.300000000000000000e+01,2.983629427706602222e+00
8.640000000000408420e+01,5.000000000000000000e+00,2.911517280899586169e+00
8.680000000000406146e+01,7.000000000000000000e+00,2.841351278841771855e+00
8.720000000000403872e+01,7.000000000000000000e+00,2.771157532054951300e+00
8.760000000000407283e+01,7.000000000000000000e+00,2.702552162258339497e+00
8.800000000000410694e+01,5.000000000000000000e+00,2.633221768320164191e+00
8.840000000000408420e+01,2.000000000000000000e+00,2.567067925692771979e+00
8.880000000000406146e+01,1.800000000000000000e+01,2.502630039521143601e+00
8.920000000000409557e+01,4.000000000000000000e+00,2.436805428564021714e+00
8.960000000000412967e+01,1.000000000000000000e+01,2.372539164728741490e+00
9.000000000000410694e+01,1.000000000000000000e+01,2.310249119612798996e+00
9.040000000000408420e+01,5.000000000000000000e+00,2.249020047730179606e+00
9.080000000000411831e+01,8.000000000000000000e+00,2.186462206816399689e+00
9.120000000000415241e+01,9.000000000000000000e+00,2.124588907396586457e+00
9.160000000000412967e+01,6.000000000000000000e+00,2.063514608373059556e+00
9.200000000000410694e+01,8.000000000000000000e+00,2.004104979930318997e+00
9.240000000000414104e+01,4.000000000000000000e+00,1.945621835893030172e+00
9.280000000000417515e+01,6.000000000000000000e+00,1.888308892798103322e+00
9.320000000000415241e+01,5.000000000000000000e+00,1.832573863207977549e+00
9.360000000000412967e+01,3.000000000000000000e+00,1.774199026803813695e+00
9.400000000000416378e+01,7.000000000000000000e+00,1.715144074328883939e+00
9.440000000000419789e+01,3.000000000000000000e+00,1.657722480976082657e+00
9.480000000000417515e+01,5.000000000000000000e+00,1.602161271382590346e+00
9.520000000000415241e+01,5.000000000000000000e+00,1.548821652367735391e+00
9.560000000000418652e+01,1.000000000000000000e+00,1.496888199422632626e+00
9.600000000000422062e+01,5.000000000000000000e+00,1.446316369502864019e+00
9.640000000000419789e+01,4.000000000000000000e+00,1.396685735335888578e+00
9.680000000000417515e+01,4.000000000000000000e+00,1.348282940192697898e+00
9.720000000000420926e+01,7.000000000000000000e+00,1.299013753707629171e+00
9.760000000000424336e+01,1.000000000000000000e+00,1.250078512154713328e+00
9.800000000000422062e+01,0.000000000000000000e+00,1.200697206975771314e+00
9.840000000000419789e+01,0.000000000000000000e+00,1.152713679729152174e+00
9.880000000000423199e+01,2.000000000000000000e+00,1.106082077236395733e+00
9.920000000000426610e+01,1.000000000000000000e+00,1.060927957327120197e+00
9.960000000000424336e+01,1.000000000000000000e+00,1.017562924783497191e+00
1.000000000000042206e+02,3.000000000000000000e+00,9.753605078588967192e-01
